id,name,state_code,state
5200050,Abadia de Goiás,GO,Goiás
3100104,Abadia dos Dourados,MG,Minas Gerais
5200100,Abadiânia,GO,Goiás
3100203,Abaeté,MG,Minas Gerais
1500107,Abaetetuba,PA,Pará
2300101,Abaiara,CE,Ceará
2900108,Abaíra,BA,Bahia
2900207,Abaré,BA,Bahia
4100103,Abatiá,PR,Paraná
4200051,Abdon Batista,SC,Santa Catarina
1500131,Abel Figueiredo,PA,Pará
4200101,Abelardo Luz,SC,Santa Catarina
3100302,Abre Campo,MG,Minas Gerais
2600054,Abreu e Lima,PE,Pernambuco
1700251,Abreulândia,TO,Tocantins
3100401,Acaiaca,MG,Minas Gerais
2100055,Açailândia,MA,Maranhão
2900306,Acajutiba,BA,Bahia
1500206,Acará,PA,Pará
2300150,Acarape,CE,Ceará
2300200,Acaraú,CE,Ceará
2400109,Acari,RN,Rio Grande do Norte
2200053,Acauã,PI,Piauí
2922250,Muquém de São Francisco,BA,Bahia
2928505,Santa Teresinha,BA,Bahia
3164431,São Sebastião da Vargem Alegre,MG,Minas Gerais
3147808,Passa-Vinte,MG,Minas Gerais
3150539,Pingo-d'Água,MG,Minas Gerais
3108909,Brazópolis,MG,Minas Gerais
3131802,Itabirinha,MG,Minas Gerais
3145455,Olhos d'Água,MG,Minas Gerais
3300225,Areal,RJ,Rio de Janeiro
3165206,São Thomé das Letras,MG,Minas Gerais
2200954,Aroeiras do Itaim,PI,Piauí
2206720,Nazária,PI,Piauí
2209658,São Francisco de Assis do Piauí,PI,Piauí
3547304,Santana de Parnaíba,SP,São Paulo
3550001,São Luiz do Paraitinga,SP,São Paulo
3515707,Ferraz de Vasconcelos,SP,São Paulo
3527603,Luís Antônio,SP,São Paulo
3516101,Florínia,SP,São Paulo
5106158,Nova Bandeirantes,MT,Mato Grosso
5107800,Santo Antônio do Leverger,MT,Mato Grosso
5105622,Mirassol d'Oeste,MT,Mato Grosso
5105234,Lambari D'Oeste,MT,Mato Grosso
5107008,Poxoréu,MT,Mato Grosso
5104526,Ipiranga do Norte,MT,Mato Grosso
5103957,Glória D'Oeste,MT,Mato Grosso
5104542,Itanhangá,MT,Mato Grosso
5103809,Figueirópolis D'Oeste,MT,Mato Grosso
5105507,Vila Bela da Santíssima Trindade,MT,Mato Grosso
5103361,Conquista D'Oeste,MT,Mato Grosso
5003900,Figueirão,MS,Mato Grosso do Sul
4212809,Balneário Piçarras,SC,Santa Catarina
4216909,São Lourenço do Oeste,SC,Santa Catarina
4207684,Ipuaçu,SC,Santa Catarina
4213906,Presidente Castello Branco,SC,Santa Catarina
2613107,São Caetano,PE,Pernambuco
4317103,Sant'Ana do Livramento,RS,Rio Grande do Sul
5107792,Santo Antônio do Leste,MT,Mato Grosso
4314548,Pinto Bandeira,RS,Rio Grande do Sul
4220000,Balneário Rincão,SC,Santa Catarina
4212650,Pescaria Brava,SC,Santa Catarina
1504752,Mojuí dos Campos,PA,Pará
5006275,Paraíso das Águas,MS,Mato Grosso do Sul
